iter	Passed	Remaining
0	103	103687
1	114	57223
2	121	40539
3	148	37072
4	156	31212
5	159	26403
6	164	23297
7	168	20914
8	172	19029
9	177	17558
10	181	16318
11	183	15140
12	187	14236
13	189	13352
14	194	12779
15	198	12218
16	201	11631
17	205	11188
18	209	10839
19	211	10387
20	215	10057
21	220	9794
22	224	9540
23	226	9229
24	231	9023
25	235	8817
26	238	8602
27	242	8430
28	246	8238
29	250	8083
30	251	7876
31	256	7751
32	259	7605
33	263	7491
34	265	7327
35	270	7234
36	274	7146
37	278	7057
38	282	6970
39	285	6845
40	287	6718
41	289	6596
42	291	6482
43	293	6369
44	297	6317
45	301	6253
46	305	6196
47	307	6107
48	312	6066
49	317	6037
50	319	5952
51	323	5902
52	327	5852
53	330	5781
54	333	5725
55	336	5672
56	340	5638
57	345	5609
58	349	5580
59	354	5546
60	358	5513
61	361	5475
62	364	5423
63	368	5390
64	370	5330
65	373	5279
66	377	5263
67	382	5240
68	387	5224
69	391	5202
70	393	5148
71	398	5133
72	402	5104
73	406	5084
74	410	5062
75	413	5028
76	417	4999
77	421	4980
78	425	4965
79	429	4942
80	432	4908
81	436	4890
82	439	4861
83	444	4851
84	449	4836
85	452	4808
86	455	4782
87	459	4764
88	462	4734
89	466	4718
90	470	4695
91	473	4676
92	477	4659
93	481	4643
94	487	4639
95	488	4602
96	492	4589
97	496	4570
98	501	4568
99	503	4534
100	508	4522
101	510	4491
102	513	4468
103	516	4451
104	519	4428
105	522	4406
106	525	4385
107	527	4359
108	530	4337
109	535	4330
110	539	4319
111	542	4298
112	546	4288
113	549	4270
114	553	4261
115	558	4258
116	563	4250
117	568	4246
118	571	4227
119	573	4205
120	578	4202
121	580	4175
122	582	4152
123	585	4139
124	590	4131
125	591	4106
126	594	4085
127	596	4066
128	601	4062
129	604	4048
130	607	4032
131	612	4028
132	617	4023
133	621	4013
134	623	3994
135	628	3991
136	630	3974
137	633	3959
138	637	3949
139	640	3932
140	643	3917
141	646	3903
142	648	3887
143	652	3880
144	657	3874
145	661	3868
146	665	3860
147	669	3855
148	672	3841
149	676	3834
150	682	3834
151	685	3826
152	687	3806
153	690	3790
154	693	3778
155	696	3765
156	701	3768
157	707	3768
158	711	3762
159	715	3755
160	719	3749
161	723	3743
162	728	3742
163	733	3738
164	737	3730
165	741	3723
166	743	3710
167	748	3705
168	750	3691
169	755	3689
170	757	3674
171	762	3670
172	766	3664
173	770	3657
174	774	3651
175	779	3651
176	784	3645
177	787	3637
178	792	3633
179	796	3628
180	801	3626
181	805	3619
182	808	3609
183	812	3603
184	816	3597
185	820	3592
186	825	3588
187	828	3576
188	832	3573
189	836	3566
190	841	3564
191	845	3559
192	850	3554
193	854	3548
194	858	3544
195	862	3538
196	866	3533
197	870	3525
198	874	3521
199	880	3522
200	885	3519
201	889	3513
202	893	3509
203	897	3502
204	901	3497
205	906	3495
206	911	3492
207	916	3490
208	921	3486
209	925	3482
210	929	3477
211	934	3472
212	939	3469
213	943	3464
214	947	3459
215	952	3455
216	956	3450
217	960	3445
218	965	3441
219	970	3441
220	974	3436
221	979	3431
222	984	3429
223	988	3426
224	993	3420
225	997	3416
226	1001	3410
227	1005	3405
228	1009	3400
